ticker,appreciation,10bagger,table,permaticker,name,exchange,isdelisted,category,cusips,siccode,sicsector,sicindustry,famasector,famaindustry,sector,industry,scalemarketcap,scalerevenue,relatedtickers,currency,location,lastupdated,firstadded,firstpricedate,lastpricedate,firstquarter,lastquarter,secfilings,companysite
A,6.339116719242901,False,SEP,196290,Agilent Technologies Inc,NYSE,N,Domestic,00846U101,3826.0,Manufacturing,Laboratory Analytical Instruments,,Measuring and Control Equipment,Healthcare,Diagnostics & Research,5 - Large,5 - Large,,USD,California; U.S.A,2020-01-14,2014-09-26,1999-11-18,2020-01-14,1997-06-30,2019-09-30,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001090872,http://www.agilent.com
AAAGY,1.2755555555555556,False,SEP,120538,Altana Aktiengesellschaft,NYSE,Y,ADR,02143N103,2834.0,Manufacturing,Pharmaceutical Preparations,,Pharmaceutical Products,Healthcare,Biotechnology,4 - Mid,4 - Mid,,USD,Jordan,2018-10-16,2018-02-13,2002-05-22,2010-08-12,2000-12-31,2005-12-31,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001182802,
AACC,1.9787234042553192,False,SEP,195323,Asset Acceptance Capital Corp,NASDAQ,Y,Domestic,04543P100,6153.0,Finance Insurance And Real Estate,Short-Term Business Credit Institutions,,Banking,Financial Services,Asset Management,3 - Small,2 - Micro,,USD,Michigan; U.S.A,2018-06-13,2015-06-08,2004-02-05,2013-06-13,2002-12-31,2013-03-31,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001264707,
AACG,0.1915057915057916,False,SEP,189031,ATA Creativity Global,NASDAQ,N,ADR,00211V106,8200.0,Services,Services-Educational Services,,Personal Services,Consumer Defensive,Education & Training Services,2 - Micro,2 - Micro,ATAI,USD,China,2020-01-14,2016-02-02,2008-01-29,2020-01-14,2006-03-31,2018-12-31,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001420529,http://www.atai.net.cn
AACPF,1.0412371134020622,False,SEP,190934,Australia Acquisition Corp,NASDAQ,Y,ADR,G06368123 G06368107,6770.0,Finance Insurance And Real Estate,Blank Checks,,Trading,Industrials,Conglomerates,2 - Micro,,AAC AACOU AACOW,USD,Australia,2018-07-02,2016-02-01,2010-12-20,2012-11-19,2011-06-30,2012-06-30,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001499593,
AAGIY,3.2681632653061223,False,SEP,114295,AIA Group Ltd,OTC,N,ADR,001317205,,,,,,,None,,,,USD,New York; U.S.A,2020-01-14,2018-10-10,2011-04-06,2020-01-14,,,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001511634,http://www.aia.com
AAI,2.9251968503937005,False,SEP,188778,Airtran Holdings Inc,NASDAQ,Y,Domestic,00949P108 919906107,4512.0,Transportation Communications Electric Gas And Sanitary Service,Air Transportation Scheduled,,Transportation,Industrials,Airlines,3 - Small,4 - Mid,,USD,Florida; U.S.A,2018-10-23,2015-06-21,1994-06-29,2011-05-02,1996-12-31,2011-03-31,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0000948846,
AAIIQ,0.024844720496894408,False,SEP,177928,Alabama Aircraft Industries Inc,OTC,N,Domestic,01023E100 706444106 740327200,3721.0,Manufacturing,Aircraft,,Aircraft,Industrials,Aerospace & Defense,2 - Micro,2 - Micro,AAII,USD,Alabama; U.S.A,2020-01-14,2016-02-17,1987-05-07,2020-01-13,1996-12-31,2008-12-31,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0000771729,
AAIR,0.0005714285714285715,False,SEP,195013,Avantair Inc,OTC,Y,Domestic,05350T101 03979E100,4522.0,Transportation Communications Electric Gas And Sanitary Service,Air Transportation Nonscheduled,,Transportation,Industrials,Airports & Air Services,2 - Micro,2 - Micro,,USD,Florida; U.S.A,2019-06-15,2016-02-17,2009-05-18,2016-01-22,2006-03-31,2013-03-31,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001303849,
AAL,12.8582995951417,True,SEP,199960,American Airlines Group Inc,NASDAQ,N,Domestic,02376R102 001765106,4512.0,Transportation Communications Electric Gas And Sanitary Service,Air Transportation Scheduled,,Transportation,Industrials,Airlines,5 - Large,5 - Large,AMR AAMRQ,USD,Texas; U.S.A,2020-01-14,2015-04-14,2005-09-27,2020-01-14,1996-12-31,2019-09-30,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0000006201,http://www.aa.com
AAME,4.003139717425431,False,SEP,199933,Atlantic American Corp,NASDAQ,N,Domestic,048209100,6311.0,Finance Insurance And Real Estate,Life Insurance,,Insurance,Financial Services,Insurance - Life,2 - Micro,2 - Micro,,USD,Georgia; U.S.A,2020-01-14,2015-09-02,1986-01-01,2020-01-14,1996-12-31,2019-09-30,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0000008177,http://www.atlam.com
AAN,3.9450986274656867,False,SEP,198929,Aaron'S Inc,NYSE,N,Domestic,002535300 002535201,7359.0,Services,Services-Equipment Rental & Leasing Nec,,Business Services,Industrials,Rental & Leasing Services,4 - Mid,4 - Mid,,USD,Georgia; U.S.A,2020-01-14,2015-03-19,1986-01-01,2020-01-14,1996-12-31,2019-09-30,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0000706688,http://www.aarons.com
AANB,1.6686046511627908,False,SEP,123301,Abigail Adams National Bancorp Inc,NASDAQ,Y,Domestic,003390101,6021.0,Finance Insurance And Real Estate,National Commercial Banks,,Banking,Financial Services,Banks - Regional,2 - Micro,1 - Nano,,USD,District Of Columbia; U.S.A,2019-07-18,2017-08-24,1996-07-12,2009-09-28,1996-12-31,2009-06-30,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0000356809,
AAON,10.52415679124886,True,SEP,198259,Aaon Inc,NASDAQ,N,Domestic,000360206,3585.0,Manufacturing,Air-Cond & Warm Air Heatg Equip & Comm & Indl Refrig Equip,,Machinery,Basic Materials,Building Products & Equipment,4 - Mid,3 - Small,,USD,Oklahoma; U.S.A,2020-01-14,2014-10-14,1992-12-16,2020-01-14,1996-12-31,2019-09-30,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0000824142,http://www.aaon.com
AAP,4.696502340952906,False,SEP,195735,Advance Auto Parts Inc,NYSE,N,Domestic,00751Y106,5531.0,Retail Trade,Retail-Auto & Home Supply Stores,,Retail,Consumer Cyclical,Specialty Retail,5 - Large,4 - Mid,,USD,North Carolina; U.S.A,2020-01-14,2015-01-05,2001-11-29,2020-01-14,2000-12-31,2019-09-30,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001158449,http://www.advanceautoparts.com
AAPL,15.119796227015842,True,SEP,199059,Apple Inc,NASDAQ,N,Domestic,037833100,3571.0,Manufacturing,Electronic Computers,,Computers,Technology,Consumer Electronics,6 - Mega,6 - Mega,,USD,California; U.S.A,2020-01-14,2014-09-24,1986-01-01,2020-01-14,1996-09-30,2019-09-30,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0000320193,http://www.apple.com
