ticker,appreciation,10bagger,table,permaticker,name,exchange,isdelisted,category,cusips,siccode,sicsector,sicindustry,famasector,famaindustry,sector,industry,scalemarketcap,scalerevenue,relatedtickers,currency,location,lastupdated,firstadded,firstpricedate,lastpricedate,firstquarter,lastquarter,secfilings,companysite
A,6.339116719242901,False,SEP,196290,Agilent Technologies Inc,NYSE,N,Domestic,00846U101,3826.0,Manufacturing,Laboratory Analytical Instruments,,Measuring and Control Equipment,Healthcare,Diagnostics & Research,5 - Large,5 - Large,,USD,California; U.S.A,2020-01-14,2014-09-26,1999-11-18,2020-01-14,1997-06-30,2019-09-30,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001090872,http://www.agilent.com
AA,1.2243478260869565,False,SEP,124392,Alcoa Corp,NYSE,N,Domestic,013872106,3350.0,Manufacturing,Rolling Drawing & Extruding Of Nonferrous Metals,,Steel Works Etc,Basic Materials,Aluminum,4 - Mid,5 - Large,,USD,New York; U.S.A,2020-01-14,2016-11-01,2016-11-01,2020-01-14,2014-12-31,2019-09-30,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001675149,http://www.alcoa.com
AAAGY,1.2755555555555556,False,SEP,120538,Altana Aktiengesellschaft,NYSE,Y,ADR,02143N103,2834.0,Manufacturing,Pharmaceutical Preparations,,Pharmaceutical Products,Healthcare,Biotechnology,4 - Mid,4 - Mid,,USD,Jordan,2018-10-16,2018-02-13,2002-05-22,2010-08-12,2000-12-31,2005-12-31,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001182802,
AAAP,3.3318367346938773,False,SEP,155760,Advanced Accelerator Applications SA,NASDAQ,Y,ADR,00790T100,2834.0,Manufacturing,Pharmaceutical Preparations,,Pharmaceutical Products,Healthcare,Biotechnology,3 - Small,2 - Micro,,USD,France,2018-06-28,2016-05-19,2015-11-11,2018-02-09,2012-12-31,2016-12-31,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001611787,
AAC,0.09945945945945947,False,SEP,187592,AAC Holdings Inc,NYSE,Y,Domestic,000307108,8093.0,Services,Services-Specialty Outpatient Facilities Nec,,Healthcare,Healthcare,Medical Care,3 - Small,3 - Small,,USD,Tennessee; U.S.A,2019-10-25,2015-09-11,2014-10-02,2019-10-25,2013-09-30,2019-09-30,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001606180,
AACC,1.9787234042553192,False,SEP,195323,Asset Acceptance Capital Corp,NASDAQ,Y,Domestic,04543P100,6153.0,Finance Insurance And Real Estate,Short-Term Business Credit Institutions,,Banking,Financial Services,Asset Management,3 - Small,2 - Micro,,USD,Michigan; U.S.A,2018-06-13,2015-06-08,2004-02-05,2013-06-13,2002-12-31,2013-03-31,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001264707,
AACG,0.19150579150579156,False,SEP,189031,ATA Creativity Global,NASDAQ,N,ADR,00211V106,8200.0,Services,Services-Educational Services,,Personal Services,Consumer Defensive,Education & Training Services,2 - Micro,2 - Micro,ATAI,USD,China,2020-01-14,2016-02-02,2008-01-29,2020-01-14,2006-03-31,2018-12-31,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001420529,http://www.atai.net.cn
AACPF,1.0412371134020622,False,SEP,190934,Australia Acquisition Corp,NASDAQ,Y,ADR,G06368123 G06368107,6770.0,Finance Insurance And Real Estate,Blank Checks,,Trading,Industrials,Conglomerates,2 - Micro,,AAC AACOU AACOW,USD,Australia,2018-07-02,2016-02-01,2010-12-20,2012-11-19,2011-06-30,2012-06-30,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001499593,
AAGIY,3.2681632653061223,False,SEP,114295,AIA Group Ltd,OTC,N,ADR,001317205,,,,,,,None,,,,USD,New York; U.S.A,2020-01-14,2018-10-10,2011-04-06,2020-01-14,,,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001511634,http://www.aia.com
AAI,2.9251968503937005,False,SEP,188778,Airtran Holdings Inc,NASDAQ,Y,Domestic,00949P108 919906107,4512.0,Transportation Communications Electric Gas And Sanitary Service,Air Transportation Scheduled,,Transportation,Industrials,Airlines,3 - Small,4 - Mid,,USD,Florida; U.S.A,2018-10-23,2015-06-21,1994-06-29,2011-05-02,1996-12-31,2011-03-31,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0000948846,
